Date,Open,High,Low,Close,Adj Close,,,,,
3/11/2015,0.663299757,0.662399928,0.669569922,0.663039839,0.663039839,1.507614,1.509662,1.493496,1.508205,1.508205
3/12/2015,0.669520162,0.665400188,0.671309893,0.669660047,0.669660047,1.493607,1.502855,1.489625,1.493295,1.493295
3/13/2015,0.671469915,0.67142979,0.679599906,0.671409954,0.671409954,1.48927,1.489359,1.471454,1.489403,1.489403
3/16/2015,0.67772993,0.674809822,0.677960126,0.677700076,0.677700076,1.475514,1.481899,1.475013,1.475579,1.475579
3/17/2015,0.674549907,0.673630207,0.678899992,0.674499858,0.674499858,1.48247,1.484494,1.472971,1.48258,1.48258
3/18/2015,0.677920141,0.677030194,0.683200109,0.677870051,0.677870051,1.4751,1.477039,1.4637,1.475209,1.475209
3/19/2015,0.668450092,0.666219855,0.67879999,0.668359845,0.668359845,1.495998,1.501006,1.473188,1.4962,1.4962
3/20/2015,0.677309915,0.670099811,0.679100084,0.677430128,0.677430128,1.476429,1.492315,1.472537,1.476167,1.476167
3/23/2015,0.66910981,0.668489861,0.673750025,0.669199811,0.669199811,1.494523,1.495909,1.48423,1.494322,1.494322
3/24/2015,0.668619928,0.667399917,0.673100158,0.66880998,0.66880998,1.495618,1.498352,1.485663,1.495193,1.495193
3/25/2015,0.674040217,0.66869996,0.674040217,0.674130187,0.674130187,1.483591,1.495439,1.483591,1.483393,1.483393
3/26/2015,0.672160006,0.667000167,0.675000219,0.672160006,0.672160006,1.487741,1.49925,1.481481,1.487741,1.487741
3/27/2015,0.673090191,0.670099811,0.675699873,0.673019975,0.673019975,1.485685,1.492315,1.479947,1.48584,1.48584
3/30/2015,0.671810044,0.671810044,0.677399841,0.671779807,0.671779807,1.488516,1.488516,1.476233,1.488583,1.488583
3/31/2015,0.675209872,0.672599895,0.677599968,0.675260026,0.675260026,1.481021,1.486768,1.475797,1.480911,1.480911
4/1/2015,0.674130187,0.672360213,0.678099883,0.674330205,0.674330205,1.483393,1.487298,1.474709,1.482953,1.482953
4/2/2015,0.674080201,0.672499931,0.676509886,0.674000239,0.674000239,1.483503,1.486989,1.478175,1.483679,1.483679
4/3/2015,0.674320201,0.669079815,0.675100016,0.674280189,0.674280189,1.482975,1.49459,1.481262,1.483063,1.483063
4/6/2015,0.670120018,0.667480102,0.67100989,0.669760065,0.669760065,1.49227,1.498172,1.490291,1.493072,1.493072
4/7/2015,0.671610165,0.670279922,0.674200179,0.671560101,0.671560101,1.488959,1.491914,1.483239,1.48907,1.48907
4/8/2015,0.674670053,0.667999995,0.674670053,0.67458995,0.67458995,1.482206,1.497006,1.482206,1.482382,1.482382
4/9/2015,0.672169946,0.671769879,0.678899992,0.67210986,0.67210986,1.487719,1.488605,1.472971,1.487852,1.487852
4/10/2015,0.679470149,0.679070109,0.68540002,0.679580047,0.679580047,1.471735,1.472602,1.459002,1.471497,1.471497
4/13/2015,0.683019987,0.6815002,0.686169903,0.68303025,0.68303025,1.464086,1.467351,1.457365,1.464064,1.464064
4/14/2015,0.68160007,0.675499954,0.684599992,0.681759922,0.681759922,1.467136,1.480385,1.460707,1.466792,1.466792
4/15/2015,0.676920203,0.675300154,0.680000109,0.67696007,0.67696007,1.477279,1.480823,1.470588,1.477192,1.477192
4/16/2015,0.674350213,0.66940005,0.675000219,0.674379773,0.674379773,1.482909,1.493875,1.481481,1.482844,1.482844
4/17/2015,0.669750197,0.664319846,0.67030014,0.670159987,0.670159987,1.493094,1.505299,1.491869,1.492181,1.492181
4/20/2015,0.668220056,0.667390118,0.671450077,0.668079878,0.668079878,1.496513,1.498374,1.489314,1.496827,1.496827
4/21/2015,0.67064988,0.66869996,0.673000046,0.670699808,0.670699808,1.491091,1.495439,1.485884,1.49098,1.49098
4/22/2015,0.669750197,0.663100072,0.670369789,0.669539885,0.669539885,1.493094,1.508068,1.491714,1.493563,1.493563
4/23/2015,0.665159858,0.664049867,0.668199963,0.665000176,0.665000176,1.503398,1.505911,1.496558,1.503759,1.503759
4/24/2015,0.664409888,0.658600132,0.665339979,0.664360009,0.664360009,1.505095,1.518372,1.502991,1.505208,1.505208
4/27/2015,0.658969898,0.656199842,0.661800229,0.658909978,0.658909978,1.51752,1.523926,1.51103,1.517658,1.517658
4/28/2015,0.656810136,0.652000141,0.658600132,0.656870106,0.656870106,1.52251,1.533742,1.518372,1.522371,1.522371
4/29/2015,0.652149812,0.645699929,0.652359977,0.652109836,0.652109836,1.53339,1.548707,1.532896,1.533484,1.533484
4/30/2015,0.648270059,0.64539988,0.652500021,0.648220053,0.648220053,1.542567,1.549427,1.532567,1.542686,1.542686
